3756777418.894652, 1.055546, 1.000000
3756777420.272320, 2.433214, 2.000000
3756777421.650001, 3.810895, 3.000000
3756777423.026478, 5.187372, 4.000000
3756777424.405120, 6.566014, 5.000000
3756777425.780999, 7.941894, 6.000000
3756777427.155069, 9.315963, 7.000000
3756777428.531993, 10.692888, 8.000000
3756777429.913999, 12.074893, 9.000000
3756777431.289783, 13.450677, 10.000000
3756777432.665386, 14.826280, 11.000000
3756777434.040701, 16.201595, 12.000000
3756777435.422960, 17.583854, 13.000000
3756777436.801005, 18.961900, 14.000000
3756777438.175210, 20.336104, 15.000000
